,processed_variants,f_measure,fitness,precision,no_model_change,variant
34,34,0.8763879314156214,0.9987218081571975,0.7807531341224929,False,"(('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Add penalty', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Payment'), <InfixType.NOT_AN_INFIX: 4>)"
35,35,0.8763879314156214,0.9987218081571975,0.7807531341224929,True,"(('Payment',), <InfixType.PROPER_INFIX: 1>)"
36,36,0.8763879314156214,0.9987218081571975,0.7807531341224929,True,"(('Send Fine', 'Insert Fine Notification', 'Add penalty', 'Insert Date Appeal to Prefecture'), <InfixType.PROPER_INFIX: 1>)"
37,37,0.8763879314156214,0.9987218081571975,0.7807531341224929,True,"(('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture', 'Add penalty', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender', 'Payment'), <InfixType.NOT_AN_INFIX: 4>)"
38,38,0.8763879314156214,0.9987218081571975,0.7807531341224929,True,"(('Payment', 'Send Fine'), <InfixType.POSTFIX: 3>)"
39,39,0.8763879314156214,0.9987218081571975,0.7807531341224929,True,"(('Send Fine', 'Insert Fine Notification', 'Insert Date Appeal to Prefecture', 'Add penalty', 'Send Appeal to Prefecture', 'Receive Result Appeal from Prefecture', 'Notify Result Appeal to Offender'), <InfixType.PROPER_INFIX: 1>)"
40,40,0.8763879314156214,0.9987218081571975,0.7807531341224929,True,"(('Send Fine', 'Insert Fine Notification', 'Add penalty', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture'), <InfixType.POSTFIX: 3>)"
41,41,0.8763879314156214,0.9987218081571975,0.7807531341224929,True,"(('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Add penalty', 'Insert Date Appeal to Prefecture'), <InfixType.PREFIX: 2>)"
42,42,0.8763879314156214,0.9987218081571975,0.7807531341224929,True,"(('Create Fine', 'Send Fine', 'Insert Date Appeal to Prefecture', 'Send Appeal to Prefecture'), <InfixType.NOT_AN_INFIX: 4>)"
43,43,0.8763879314156214,0.9987218081571975,0.7807531341224929,True,"(('Create Fine', 'Send Fine', 'Insert Fine Notification', 'Appeal to Judge', 'Add penalty', 'Send for Credit Collection'), <InfixType.NOT_AN_INFIX: 4>)"
